Relator,Name,Number of Generators,Torsion,Abelianisation,Small Cancellation,Center,Geometric,Manifold,Knot,Link Exterior,Further Information,References
aaaabbabbbb,,2,False,Z^1,False,<>,False,,,,,
aaaabbabbAb,,2,False,Z^1,False,<>,False,,,,,
aaaabbabbAB,,2,False,Z^1,False,<>,False,,,,,
aaaabbabAbb,,2,False,Z^1,False,<>,False,,,,,
aaaabbabAAb,,2,False,Z^1,False,<>,False,,,,,
aaaabbabAAB,,2,False,Z^1,False,<>,False,,,,,
aaaabbabABB,,2,False,Z^1,False,<>,False,,,,,
aaaabbaBaab,,2,False,Z^1,False,<>,False,,,,,
aaaabbaBabb,,2,False,Z^1+Z/3Z,False,<>,True,,,,,
aaaabbaBaBB,,2,False,Z^1,False,<>,False,,,,,
aaaabbaBAbb,,2,False,Z^1,False,<>,False,,,,,
aaaabbaBAAb,,2,False,Z^1,False,<>,False,,,,,
aaaabbaBAAB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaabbaBABB,,2,False,Z^1,False,<>,False,,,,,
aaaabbaBBab,,2,False,Z^1,False,<>,False,,,,,
aaaabbaBBaB,,2,False,Z^1,False,<>,False,,,,,
aaaabbaBBAb,,2,False,Z^1,False,<>,False,,,,,
aaaabbaBBAB,,2,False,Z^1,False,<>,False,,,,,
aaaabbaBBBB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbaaab,,2,False,Z^1,False,<>,False,,,,,
aaaabbbaaaB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbaabb,,2,False,Z^1,False,<>,False,,,,,
aaaabbbaaBB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbabaB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaabbbabbb,,2,False,Z^1,False,<>,True,,,,,
aaaabbbabAb,,2,False,Z^1,False,<>,False,,,,,
aaaabbbabAB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbaBab,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaabbbaBaB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbaBAb,,2,False,Z^1,False,<>,False,,,,,
aaaabbbaBAB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbaBBB,,2,False,Z^1+Z/5Z,False,<>,False,,,,,
aaaabbbbaaB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaabbbbaBB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbbAAB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbbABB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbAbab,,2,False,Z^1,False,<>,False,,,,,
aaaabbbAbaB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbAbbb,,2,False,Z^1+Z/3Z,False,<>,True,,,,,
aaaabbbAbAb,,2,False,Z^1,False,<>,False,,,,,
aaaabbbAbAB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbAAbb,,2,False,Z^1,False,<>,False,,,,,
aaaabbbAAAb,,2,False,Z^1,False,<>,False,,,,,
aaaabbbAAAB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbAABB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbABab,,2,False,Z^1,False,<>,False,,,,,
aaaabbbABaB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbABAb,,2,False,Z^1,False,<>,False,,,,,
aaaabbbABAB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbABBB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaabbAbaab,,2,False,Z^1,False,<>,False,,,,,
aaaabbAbabb,,2,False,Z^1,False,<>,False,,,,,
aaaabbAbaBB,,2,False,Z^1,False,<>,False,,,,,
aaaabbAbbab,,2,False,Z^1,False,<>,False,,,,,
aaaabbAbbaB,,2,False,Z^1,False,<>,False,,,,,
aaaabbAbbAb,,2,False,Z^1,False,<>,False,,,,,
aaaabbAbbAB,,2,False,Z^1,False,<>,False,,,,,
aaaabbAbAbb,,2,False,Z^1,False,<>,True,m047,,,,
aaaabbAbABB,,2,False,Z^1,False,<>,False,,,,,
aaaabbAAbab,,2,False,Z^1,False,<>,False,,,,,
aaaabbAAbbb,,2,False,Z^1,False,<>,False,,,,,
aaaabbAAAbb,,2,False,Z^1,False,<>,True,,,,,
aaaabbAAAAb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaabbAAAAB,,2,False,Z^1,False,<>,False,,,,,
aaaabbAAABB,,2,False,Z^1,False,<>,False,,,,,
aaaabbAABAB,,2,False,Z^1,False,<>,False,,,,,
aaaabbAABBB,,2,False,Z^1,False,<>,False,,,,,
aaaabbABabb,,2,False,Z^1,False,<>,False,,,,,
aaaabbABaBB,,2,False,Z^1,False,<>,False,,,,,
aaaabbABAbb,,2,False,Z^1,False,<>,True,m078,,,,
aaaabbABAAB,,2,False,Z^1,False,<>,False,,,,,
aaaabbABABB,,2,False,Z^1,False,<>,False,,,,,
aaaabbABBab,,2,False,Z^1,False,<>,False,,,,,
aaaabbABBaB,,2,False,Z^1,False,<>,False,,,,,
aaaabbABBAb,,2,False,Z^1,False,<>,False,,,,,
aaaabbABBAB,,2,False,Z^1,False,<>,False,,,,,
aaaabAbaabb,,2,False,Z^1,False,<>,False,,,,,
aaaabAbabbb,,2,False,Z^1,False,<>,False,,,,,
aaaabAbaBBB,,2,False,Z^1,False,<>,False,,,,,
aaaabAbbaab,,2,False,Z^1,False,<>,False,,,,,
aaaabAbbabb,,2,False,Z^1,False,<>,False,,,,,
aaaabAbbaBB,,2,False,Z^1,False,<>,False,,,,,
aaaabAbbbab,,2,False,Z^1,False,<>,False,,,,,
aaaabAbbbaB,,2,False,Z^1,False,<>,False,,,,,
aaaabAbbbAb,,2,False,Z^1,False,<>,True,m027,,,,
aaaabAbbbAB,,2,False,Z^1,False,<>,False,,,,,
aaaabAbbAbb,,2,False,Z^1,False,<>,False,,,,,
aaaabAbbABB,,2,False,Z^1,False,<>,False,,,,,
aaaabAbAbbb,,2,False,Z^1,False,<>,False,,,,,
aaaabAbABBB,,2,False,Z^1,False,<>,False,,,,,
aaaabAAbabb,,2,False,Z^1,False,<>,False,,,,,
aaaabAAbbab,,2,False,Z^1,False,<>,False,,,,,
aaaabAAAbbb,,2,False,Z^1,False,<>,False,,,,,
aaaabAAABBB,,2,False,Z^1,False,<>,False,,,,,
aaaabAABaBB,,2,False,Z^1,False,<>,False,,,,,
aaaabAABABB,,2,False,Z^1,False,<>,False,,,,,
aaaabAABBAb,,2,False,Z^1,False,<>,False,,,,,
aaaabABaaBB,,2,False,Z^1,False,<>,False,,,,,
aaaabABabaB,,2,False,Z^1+Z/5Z,False,<>,Unknown,,,,,
aaaabABabbb,,2,False,Z^1,False,<>,False,,,,,
aaaabABabAB,,2,False,Z^1+Z/3Z,False,<>,Unknown,,,,,
aaaabABaBBB,,2,False,Z^1,False,<>,False,,,,,
aaaabABAbaB,,2,False,Z^1+Z/3Z,False,<>,Unknown,,,,,
aaaabABAbbb,,2,False,Z^1,False,<>,False,,,,,
aaaabABAbAB,,2,False,Z^1,False,<>,Unknown,,,,,
aaaabABAABB,,2,False,Z^1,False,<>,False,,,,,
aaaabABABBB,,2,False,Z^1,False,<>,False,,,,,
aaaabABBabb,,2,False,Z^1,False,<>,False,,,,,
aaaabABBaBB,,2,False,Z^1,False,<>,False,,,,,
aaaabABBAbb,,2,False,Z^1,False,<>,False,,,,,
aaaabABBABB,,2,False,Z^1,False,<>,False,,,,,
aaaabABBBab,,2,False,Z^1,False,<>,False,,,,,
aaaabABBBaB,,2,False,Z^1,False,<>,False,,,,,
aaaabABBBAb,,2,False,Z^1,False,<>,True,m120,,,,
aaaabABBBAB,,2,False,Z^1,False,<>,False,,,,,
aaabaaabaBB,,2,False,Z^1+Z/7Z,False,<>,False,,,,,
aaabaaabbaB,,2,False,Z^1,False,<>,False,,,,,
aaabaaabbAB,,2,False,Z^1,False,<>,False,,,,,
aaabaaabABB,,2,False,Z^1+Z/5Z,False,<>,False,,,,,
aaabaaaBabb,,2,False,Z^1,False,<>,False,,,,,
aaabaaaBaBB,,2,False,Z^1,False,<>,False,,,,,
aaabaaaBAbb,,2,False,Z^1,False,<>,False,,,,,
aaabaaaBABB,,2,False,Z^1,False,<>,False,,,,,
aaabaabaaBB,,2,False,Z^1+Z/7Z,False,<>,False,,,,,
aaabaabaBBB,,2,False,Z^1,False,<>,False,,,,,
aaabaabbaaB,,2,False,Z^1,False,<>,False,,,,,
aaabaabbaBB,,2,False,Z^1,False,<>,False,,,,,
aaabaabbbaB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabaabbbAb,,2,False,Z^1,False,<>,False,,,,,
aaabaabbbAB,,2,False,Z^1,False,<>,False,,,,,
aaabaabbAbb,,2,False,Z^1,False,<>,False,,,,,
aaabaabbAAB,,2,False,Z^1,False,<>,False,,,,,
aaabaabbABB,,2,False,Z^1,False,<>,False,,,,,
aaabaabAbbb,,2,False,Z^1,False,<>,False,,,,,
aaabaabAABB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabaabABBB,,2,False,Z^1,False,<>,False,,,,,
aaabaaBaabb,,2,False,Z^1,False,<>,False,,,,,
aaabaaBaaBB,,2,False,Z^1,False,<>,False,,,,,
aaabaaBabaB,,2,False,Z^1+Z/7Z,False,<>,Unknown,,,,,
aaabaaBabbb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabaaBabAB,,2,False,Z^1+Z/5Z,False,<>,Unknown,,,,,
aaabaaBaBBB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabaaBAbaB,,2,False,Z^1+Z/5Z,False,<>,Unknown,,,,,
aaabaaBAbbb,,2,False,Z^1,False,<>,False,,,,,
aaabaaBAbAB,,2,False,Z^1+Z/3Z,False,<>,Unknown,,,,,
aaabaaBAAbb,,2,False,Z^1,False,<>,False,,,,,
aaabaaBAABB,,2,False,Z^1,False,<>,False,,,,,
aaabaaBABBB,,2,False,Z^1,False,<>,False,,,,,
aaabaaBBaab,,2,False,Z^1+Z/7Z,False,<>,True,,,,,
aaabaaBBabb,,2,False,Z^1,False,<>,False,,,,,
aaabaaBBaBB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabaaBBAbb,,2,False,Z^1,False,<>,False,,,,,
aaabaaBBAAb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabaaBBABB,,2,False,Z^1,False,<>,False,,,,,
aaabaaBBBab,,2,False,Z^1,False,<>,False,,,,,
aaabaaBBBaB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabaaBBBAb,,2,False,Z^1,False,<>,False,,,,,
aaabaaBBBAB,,2,False,Z^1,False,<>,False,,,,,
aaababaaaBB,,2,False,Z^1+Z/7Z,False,<>,True,m030,,,,
aaababaaBBB,,2,False,Z^1,False,<>,False,,,,,
aaababaBaBB,,2,False,Z^1,False,<>,False,,,,,
aaababaBBaB,,2,False,Z^1,False,<>,False,,,,,
aaababbaaBB,,2,False,Z^1,False,<>,False,,,,,
aaababbaBaB,,2,False,Z^1,False,<>,False,,,,,
aaababbaBBB,,2,False,Z^1+Z/5Z,False,<>,False,,,,,
aaababbbaaB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaababbbaBB,,2,False,Z^1,False,<>,False,,,,,
aaababbbAAb,,2,False,Z^1,False,<>,False,,,,,
aaababbbAAB,,2,False,Z^1,False,<>,False,,,,,
aaababbbABB,,2,False,Z^1,False,<>,False,,,,,
aaababbAbaB,,2,False,Z^1,False,<>,False,,,,,
aaababbAbbb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaababbAbAb,,2,False,Z^1,False,<>,False,,,,,
aaababbAbAB,,2,False,Z^1,False,<>,False,,,,,
aaababbAAbb,,2,False,Z^1,False,<>,False,,,,,
aaababbAAAB,,2,False,Z^1,False,<>,False,,,,,
aaababbAABB,,2,False,Z^1,False,<>,False,,,,,
aaababbABaB,,2,False,Z^1,False,<>,False,,,,,
aaababbABBB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaababAbaBB,,2,False,Z^1,False,<>,False,,,,,
aaababAbbaB,,2,False,Z^1,False,<>,False,,,,,
aaababAbbAb,,2,False,Z^1,False,<>,False,,,,,
aaababAbbAB,,2,False,Z^1,False,<>,False,,,,,
aaababAbAbb,,2,False,Z^1,False,<>,False,,,,,
aaababAbABB,,2,False,Z^1,False,<>,False,,,,,
aaababAAbbb,,2,False,Z^1,False,<>,False,,,,,
aaababAAABB,,2,False,Z^1,False,<>,False,,,,,
aaababAABBB,,2,False,Z^1,False,<>,False,,,,,
aaababABaBB,,2,False,Z^1,False,<>,False,,,,,
aaababABBaB,,2,False,Z^1,False,<>,False,,,,,
aaabaBaaabb,,2,False,Z^1,False,<>,False,,,,,
aaabaBaaaBB,,2,False,Z^1,False,<>,False,,,,,
aaabaBaabaB,,2,False,Z^1+Z/7Z,False,<>,Unknown,,,,,
aaabaBaabbb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabaBaabAB,,2,False,Z^1+Z/5Z,False,<>,Unknown,,,,,
aaabaBaaBBB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabaBabaaB,,2,False,Z^1+Z/7Z,False,<>,Unknown,,,,,
aaabaBabaBB,,2,False,Z^1,False,<>,False,,,,,
aaabaBabbaB,,2,False,Z^1,False,<>,False,,,,,
aaabaBabbAb,,2,False,Z^1,False,<>,False,,,,,
aaabaBabbAB,,2,False,Z^1,False,<>,False,,,,,
aaabaBabAbb,,2,False,Z^1,False,<>,False,,,,,
aaabaBabAAB,,2,False,Z^1+Z/3Z,False,<>,Unknown,,,,,
aaabaBabABB,,2,False,Z^1,False,<>,False,,,,,
aaabaBaBabb,,2,False,Z^1,False,<>,False,,,,,
aaabaBaBAbb,,2,False,Z^1,False,<>,False,,,,,
aaabaBaBABB,,2,False,Z^1,False,<>,False,,,,,
aaabaBaBBab,,2,False,Z^1,False,<>,False,,,,,
aaabaBaBBAb,,2,False,Z^1,False,<>,False,,,,,
aaabaBaBBAB,,2,False,Z^1,False,<>,False,,,,,
aaabaBAbaaB,,2,False,Z^1+Z/5Z,False,<>,Unknown,,,,,
aaabaBAbaBB,,2,False,Z^1,False,<>,False,,,,,
aaabaBAbbaB,,2,False,Z^1,False,<>,False,,,,,
aaabaBAbbAb,,2,False,Z^1,False,<>,False,,,,,
aaabaBAbbAB,,2,False,Z^1,False,<>,False,,,,,
aaabaBAbAbb,,2,False,Z^1,False,<>,False,,,,,
aaabaBAbAAB,,2,False,Z^1,False,<>,Unknown,,,,,
aaabaBAbABB,,2,False,Z^1,False,<>,False,,,,,
aaabaBAAbaB,,2,False,Z^1+Z/3Z,False,<>,Unknown,,,,,
aaabaBAAbbb,,2,False,Z^1,False,<>,False,,,,,
aaabaBAAbAB,,2,False,Z^1,False,<>,Unknown,,,,,
aaabaBAABBB,,2,False,Z^1,False,<>,False,,,,,
aaabaBABaBB,,2,False,Z^1,False,<>,False,,,,,
aaabaBABBaB,,2,False,Z^1,False,<>,False,,,,,
aaabaBBaabb,,2,False,Z^1,False,<>,False,,,,,
aaabaBBaaBB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabaBBabaB,,2,False,Z^1,False,<>,False,,,,,
aaabaBBabbb,,2,False,Z^1,False,<>,False,,,,,
aaabaBBabAb,,2,False,Z^1,False,<>,False,,,,,
aaabaBBabAB,,2,False,Z^1,False,<>,False,,,,,
aaabaBBaBab,,2,False,Z^1,False,<>,False,,,,,
aaabaBBaBAb,,2,False,Z^1,False,<>,False,,,,,
aaabaBBaBAB,,2,False,Z^1,False,<>,False,,,,,
aaabaBBaBBB,,2,False,Z^1,False,<>,False,,,,,
aaabaBBAbaB,,2,False,Z^1,False,<>,False,,,,,
aaabaBBAbbb,,2,False,Z^1,False,<>,False,,,,,
aaabaBBAbAb,,2,False,Z^1,False,<>,False,,,,,
aaabaBBAbAB,,2,False,Z^1,False,<>,False,,,,,
aaabaBBAAbb,,2,False,Z^1,False,<>,False,,,,,
aaabaBBAAAb,,2,False,Z^1,False,<>,False,,,,,
aaabaBBAABB,,2,False,Z^1,False,<>,False,,,,,
aaabaBBABaB,,2,False,Z^1,False,<>,False,,,,,
aaabaBBABBB,,2,False,Z^1,False,<>,False,,,,,
aaabaBBBaab,,2,False,Z^1,False,<>,False,,,,,
aaabaBBBaaB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabaBBBabb,,2,False,Z^1+Z/5Z,False,<>,False,,,,,
aaabaBBBAbb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabaBBBAAb,,2,False,Z^1,False,<>,False,,,,,
aaabaBBBAAB,,2,False,Z^1,False,<>,False,,,,,
aaabbaaabbb,,2,False,Z^1,False,<bbaaabbaabbaaabbaabbaaabbbabab>,True,,,,,
aaabbaaabAB,,2,False,Z^1,False,<>,False,,,,,
aaabbaaaBAb,,2,False,Z^1,False,<>,False,,,,,
aaabbaaaBAB,,2,False,Z^1+Z/5Z,False,<>,True,m029,,,,
aaabbaaaBBB,,2,False,Z^1,False,<>,True,,,,,
aaabbaabaaB,,2,False,Z^1,False,<>,False,,,,,
aaabbaabaBB,,2,False,Z^1,False,<>,False,,,,,
aaabbaabbaB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabbaabbAb,,2,False,Z^1,False,<>,False,,,,,
aaabbaabbAB,,2,False,Z^1,False,<>,False,,,,,
aaabbaabAbb,,2,False,Z^1,False,<>,False,,,,,
aaabbaabAAB,,2,False,Z^1,False,<>,False,,,,,
aaabbaabABB,,2,False,Z^1,False,<>,False,,,,,
aaabbaaBaab,,2,False,Z^1,False,<>,False,,,,,
aaabbaaBabb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabbaaBaBB,,2,False,Z^1,False,<>,False,,,,,
aaabbaaBAbb,,2,False,Z^1,False,<>,False,,,,,
aaabbaaBAAb,,2,False,Z^1,False,<>,False,,,,,
aaabbaaBAAB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabbaaBABB,,2,False,Z^1,False,<>,False,,,,,
aaabbaaBBab,,2,False,Z^1,False,<>,False,,,,,
aaabbaaBBaB,,2,False,Z^1,False,<>,False,,,,,
aaabbaaBBAb,,2,False,Z^1,False,<>,False,,,,,
aaabbaaBBAB,,2,False,Z^1,False,<>,False,,,,,
aaabbabaaBB,,2,False,Z^1,False,<>,False,,,,,
aaabbabaBaB,,2,False,Z^1,False,<>,False,,,,,
aaabbabaBBB,,2,False,Z^1+Z/5Z,False,<>,False,,,,,
aaabbabbaaB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabbabbaBB,,2,False,Z^1,False,<>,False,,,,,
aaabbabbbaB,,2,False,Z^1,False,<>,False,,,,,
aaabbabbbAB,,2,False,Z^1,False,<>,False,,,,,
aaabbabbAbb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabbabbAAb,,2,False,Z^1,False,<>,False,,,,,
aaabbabbAAB,,2,False,Z^1,False,<>,False,,,,,
aaabbabbABB,,2,False,Z^1,False,<>,False,,,,,
aaabbabAbaB,,2,False,Z^1,False,<>,False,,,,,
aaabbabAbbb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabbabAbAb,,2,False,Z^1,False,<>,False,,,,,
aaabbabAbAB,,2,False,Z^1,False,<>,False,,,,,
aaabbabAAbb,,2,False,Z^1,False,<>,False,,,,,
aaabbabAAAB,,2,False,Z^1,False,<>,False,,,,,
aaabbabAABB,,2,False,Z^1,False,<>,False,,,,,
aaabbabABaB,,2,False,Z^1,False,<>,False,,,,,
aaabbabABBB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabbaBaabb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabbaBaaBB,,2,False,Z^1,False,<>,False,,,,,
aaabbaBabaB,,2,False,Z^1,False,<>,False,,,,,
aaabbaBabbb,,2,False,Z^1,False,<>,False,,,,,
aaabbaBabAb,,2,False,Z^1,False,<>,False,,,,,
aaabbaBabAB,,2,False,Z^1,False,<>,False,,,,,
aaabbaBaBab,,2,False,Z^1,False,<>,False,,,,,
aaabbaBaBAb,,2,False,Z^1,False,<>,False,,,,,
aaabbaBaBAB,,2,False,Z^1,False,<>,False,,,,,
aaabbaBaBBB,,2,False,Z^1,False,<>,False,,,,,
aaabbaBAbaB,,2,False,Z^1,False,<>,False,,,,,
aaabbaBAbbb,,2,False,Z^1,False,<>,False,,,,,
aaabbaBAbAb,,2,False,Z^1,False,<>,False,,,,,
aaabbaBAbAB,,2,False,Z^1,False,<>,False,,,,,
aaabbaBAAbb,,2,False,Z^1,False,<>,False,,,,,
aaabbaBAAAB,,2,False,Z^1,False,<>,False,,,,,
aaabbaBAABB,,2,False,Z^1,False,<>,False,,,,,
aaabbaBABaB,,2,False,Z^1,False,<>,False,,,,,
aaabbaBABBB,,2,False,Z^1,False,<>,False,,,,,
aaabbaBBaab,,2,False,Z^1,False,<>,False,,,,,
aaabbaBBaaB,,2,False,Z^1,False,<>,False,,,,,
aaabbaBBabb,,2,False,Z^1,False,<>,False,,,,,
aaabbaBBaBB,,2,False,Z^1,False,<>,False,,,,,
aaabbaBBAbb,,2,False,Z^1,False,<>,False,,,,,
aaabbaBBAAb,,2,False,Z^1,False,<>,False,,,,,
aaabbaBBAAB,,2,False,Z^1,False,<>,False,,,,,
aaabbaBBABB,,2,False,Z^1,False,<>,False,,,,,
aaabbaBBBab,,2,False,Z^1+Z/5Z,False,<>,False,,,,,
aaabbaBBBAb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabbbaaBab,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabbbaaBaB,,2,False,Z^1,False,<>,False,,,,,
aaabbbaaBAb,,2,False,Z^1,False,<>,False,,,,,
aaabbbaaBAB,,2,False,Z^1,False,<>,False,,,,,
aaabbbaaBBB,,2,False,Z^1+Z/5Z,False,<>,False,,,,,
aaabbbaBaab,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabbbaBaaB,,2,False,Z^1,False,<>,False,,,,,
aaabbbaBabb,,2,False,Z^1,False,<>,False,,,,,
aaabbbaBaBB,,2,False,Z^1+Z/5Z,False,<>,False,,,,,
aaabbbaBAbb,,2,False,Z^1,False,<>,False,,,,,
aaabbbaBAAb,,2,False,Z^1,False,<>,False,,,,,
aaabbbaBAAB,,2,False,Z^1,False,<>,False,,,,,
aaabbbaBABB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabbbaBBab,,2,False,Z^1,False,<>,False,,,,,
aaabbbaBBaB,,2,False,Z^1+Z/5Z,False,<>,False,,,,,
aaabbbaBBAb,,2,False,Z^1,False,<>,False,,,,,
aaabbbaBBAB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabbbAAABB,,2,False,Z^1,False,<>,False,,,,,
aaabbbAABab,,2,False,Z^1,False,<>,False,,,,,
aaabbbAABaB,,2,False,Z^1,False,<>,False,,,,,
aaabbbAABAb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabbbAABAB,,2,False,Z^1,False,<>,False,,,,,
aaabbbABaab,,2,False,Z^1,False,<>,False,,,,,
aaabbbABaaB,,2,False,Z^1,False,<>,False,,,,,
aaabbbABabb,,2,False,Z^1,False,<>,False,,,,,
aaabbbABaBB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabbbABAbb,,2,False,Z^1,False,<>,False,,,,,
aaabbbABAAb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabbbABAAB,,2,False,Z^1,False,<>,False,,,,,
aaabbbABABB,,2,False,Z^1,False,<>,False,,,,,
aaabbbABBab,,2,False,Z^1,False,<>,False,,,,,
aaabbbABBaB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabbbABBAb,,2,False,Z^1,False,<>,False,,,,,
aaabbbABBAB,,2,False,Z^1,False,<>,False,,,,,
aaabbAbaabb,,2,False,Z^1,False,<>,False,,,,,
aaabbAbaaBB,,2,False,Z^1,False,<>,False,,,,,
aaabbAbabaB,,2,False,Z^1,False,<>,False,,,,,
aaabbAbabAb,,2,False,Z^1,False,<>,False,,,,,
aaabbAbabAB,,2,False,Z^1,False,<>,False,,,,,
aaabbAbaBab,,2,False,Z^1,False,<>,False,,,,,
aaabbAbaBAb,,2,False,Z^1,False,<>,False,,,,,
aaabbAbaBAB,,2,False,Z^1,False,<>,False,,,,,
aaabbAbbaab,,2,False,Z^1,False,<>,False,,,,,
aaabbAbbaaB,,2,False,Z^1,False,<>,False,,,,,
aaabbAbbabb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabbAbbaBB,,2,False,Z^1,False,<>,False,,,,,
aaabbAbbbaB,,2,False,Z^1,False,<>,False,,,,,
aaabbAbbbAB,,2,False,Z^1,False,<>,False,,,,,
aaabbAbbAbb,,2,False,Z^1,False,<>,True,,,,,
aaabbAbbAAb,,2,False,Z^1+Z/5Z,False,<>,False,,,,,
aaabbAbbAAB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabbAbbABB,,2,False,Z^1,False,<>,False,,,,,
